#'chr'	'start'	'end'	'1point5min_Rep1_rpkm'	'1point5min_Rep2_rpkm'	'2point5min_Rep1_rpkm'	'2point5min_Rep2_rpkm'	'5min_Rep1_rpkm'	'5min_Rep2_rpkm'	'Background_Rep1_rpkm'	'Total_Rep2_rpkm'	'WH3_4tU_Rep1'	'WH3_4tU_Rep2'	'WT_Rep1_Total'	'WT_Rep2_Total'
I	87286	87388	1280.6065033557368	5117.235415390114	2974.9344594120203	5824.172010234758	4371.767812093099	3199.7098843443628	413.44825721254534	5379.132465586943	267.70300412645526	107.64218723072725	3.855451130399517	2.851928361490661
I	87500	87752	348.03907031104677	995.5956711542038	850.3817797464038	947.1050589425223	980.2485647050161	920.6751573350695	81.50420688069056	1207.079124813988	134.02473619249133	48.44776527465336	2.0761246099358512	1.7728877696726058
I	139152	139188	5343.277316623264	6878.425699869792	6430.784396701389	16341.05650499132	6492.777147081163	7796.354919433594	173.5330449740092	2121.481185913086	82.08506690131293	23.560285356309677	0.0	0.0
I	139218	139254	5330.039449055989	5772.7860921223955	5938.593648274739	13364.291720920139	6347.369479709201	7091.2741292317705	301.67498779296875	2073.608618842231	69.11159165700276	12.535843213399252	0.0	0.0
I	142174	142254	17477.923309326172	22747.30634765625	25548.530126953126	29902.8010925293	22402.482202148436	17685.47189025879	2350.868494987488	21531.536291503908	4959.250707244873	1959.0197296142578	22.289711689949037	19.242959427833558
I	142619	143160	9958.994624393485	17967.36250866451	13253.677552660969	20788.13805994397	13490.54066543438	13343.177854715417	2309.7378880650313	22516.64755660813	3194.5102814341208	1434.2619173116914	25.55993912885458	19.624925685678082
I	147594	151007	132.62027782727432	384.663918886465	207.25531817157818	347.7435093072444	183.56399026910407	232.05321496649987	10.248662422833926	158.10027345422074	163.9337832889283	94.58349767640787	0.4842711018391309	0.37513519302687265
I	151096	151166	554.6219495500837	746.9539515904017	727.4660827636719	1053.4952348981585	894.1978707449776	340.4121322631836	21.189092063903807	318.1418256487165	156.60978175571987	92.42278638567244	0.2575671681335994	0.25070360941546305
I	181141	181179	7868.5223195929275	7090.914679276316	11008.867778577303	22133.265599300987	13964.488461143092	11672.45076069079	424.06579670153167	2405.5647133275083	196.19260526958266	29.311115515859502	0.0	0.0279558002948761
I	181210	181254	8426.096790660511	5826.5443115234375	10414.600064364347	20485.59357244318	12990.808371803978	10083.698364257812	758.4738297895951	2599.796142578125	131.44415777379817	20.876918944445524	0.04485103606500409	0.14295581812885674
II	2907	4117	459.35645769607925	1311.3260859213585	777.6716262186854	675.0615494817939	765.7078559812436	535.7868132788287	4.259188414014075	119.69218624367201	6.357140950920168	6.436716584134693	0.012595393856571725	0.017049418432899744
II	4215	5009	119.74543024250482	238.41482784806132	91.22084469478938	151.85000987016883	27.729101661470736	54.45294869756819	3.767773875661701	61.99876230609807	16.45192970737102	14.69686575920816	0.07559094566767402	0.030663848476911372
II	36398	36435	6395.78271484375	4761.047006967905	6331.41650390625	15821.197687922297	7991.0379011824325	9238.563555743243	1062.6565370301942	1482.3485734269425	121.74610942118876	60.72568316073031	0.0	0.0
II	36452	36488	6626.398356119792	4278.49469672309	6467.338595920139	15096.415825737848	7895.087144639757	8803.606960720486	490.221911960178	1316.069792005751	76.38641738891602	30.13937218983968	0.0	0.0
II	46565	47059	2683.2453949345268	7985.250890240174	3773.047240057777	7222.130030680669	3443.5680018127687	3247.1054140572282	115.37710282624448	1929.0824944191133	121.63702312268708	59.77662791510825	0.9108752310276031	0.8271123150340941
II	47146	47180	1804.9958675608916	4918.62410960478	2804.6323529411766	3797.058859432445	2032.7946849149816	1526.4406235638787	25.13960075378418	1111.2091172162225	115.41411635454963	60.718032612520105	0.46088526003500996	0.30011379499645796
II	59822	60194	6966.9954660067	18588.926493983112	11795.401745539839	16379.704061134913	12077.599659253192	13396.73479765205	4056.3601753033504	29622.95681467364	896.5700086368028	383.0766380063949	17.70488046638427	16.44640063406319
II	60697	60739	4447.27593703497	6052.306163969494	5121.553984142485	5174.135201590402	4274.533086867559	5172.473516555059	1339.28321765718	9552.297619047618	2087.3768920898438	854.1898091634115	8.864280723390126	8.460623105367025
II	110125	110421	1839.9641649400867	7930.350381937113	2928.509325731982	7202.905612595016	4232.5284423828125	6037.448538015554	115.20912368877514	3313.5733918885926	213.22662992735167	102.01919578861546	1.3911452257149928	1.451697924853982
II	110505	110539	556.3780688117532	849.6289601045496	1141.29392377068	1595.146796731388	613.2304750330308	1095.0765596277574	34.38210044187658	519.8239710190717	420.18961648380053	157.30205670525046	0.7269134381238151	0.40947029871099133
II	110594	110880	464.8304496711784	2431.2409995196863	844.5460501717521	2335.3760463901335	1404.9243868581066	2566.8469913367067	76.51764004380553	400.51526647180947	154.6844756653259	57.39108933935632	0.22849200540906064	0.2421786417285879
II	110948	111244	890.967889115617	3550.581884985571	1760.5031831758515	3538.607397131018	1805.5704008566368	3477.4770859726914	61.53263254423399	737.5170149932037	142.53541638400102	47.83844316972269	0.7771134709536627	0.6297728648862323
II	125125	125155	1801.2544311523438	2882.7080078125	3414.223669433594	3646.788321940104	4075.3291768391928	3322.8704701741535	40.64227949778239	909.0451566060384	277.9011070251465	143.0686243693034	2.2146439482768376	2.4219040592511494
