I SGD intron 87388 87500 . + . YAL030W
I SGD intron 139188 139218 . + . tP(UGG)A
I SGD intron 142254 142619 . + . YAL003W
I SGD intron 151007 151096 . - . YAL001C
I SGD intron 181179 181210 . + . tL(CAA)A
II SGD intron 4117 4215 . - . YBL111C
II SGD intron 36435 36452 . + . tF(GAA)B
II SGD intron 47059 47146 . - . YBL091C-A
II SGD intron 60194 60697 . - . YBL087C
II SGD intron 110421 110505 . - . YBL059C-A
II SGD intron 110880 110948 . + . YBL059W
II SGD intron 125155 125270 . + . YBL050W
II SGD intron 142750 142846 . - . YBL040C
II SGD intron 168425 168808 . + . YBL027W
II SGD intron 170677 170804 . + . YBL026W
II SGD intron 186353 186427 . - . YBL018C
II SGD intron 332876 333386 . + . YBR048W
II SGD intron 366503 366584 . - . YBR062C
II SGD intron 393181 393510 . + . YBR078W
II SGD intron 407028 407122 . - . YBR082C
II SGD intron 414754 415259 . - . YBR084C-A
II SGD intron 426517 426873 . - . YBR090C
II SGD intron 462210 462289 . + . YBR111W-A
II SGD intron 462430 462499 . + . YBR111W-A
II SGD intron 479346 479434 . + . YBR119W
II SGD intron 592417 592768 . - . YBR181C
II SGD intron 602104 602216 . + . YBR186W
II SGD intron 604515 604927 . + . YBR189W
II SGD intron 606281 606668 . + . YBR191W
II SGD intron 653369 653452 . + . YBR215W
II SGD intron 662582 663002 . - . YBR219C
II SGD intron 679943 680039 . - . YBR230C
II SGD intron 726918 727011 . - . YBR255C-A
III SGD intron 90897 90928 . + . tL(CAA)C
III SGD intron 101634 101700 . - . YCL012C
III SGD intron 107034 107110 . + . YCL005W-A
III SGD intron 107192 107287 . + . YCL005W-A
III SGD intron 111558 111633 . - . YCL002C
III SGD intron 173116 173198 . - . YCR028C-A
III SGD intron 177907 178213 . - . YCR031C
III SGD intron 227979 227997 . + . tS(CGA)C
III SGD intron 293940 293993 . + . YCR097W
III SGD intron 294240 294291 . + . YCR097W
IV SGD intron 65307 65377 . + . YDL219W
IV SGD intron 117667 118157 . + . YDL191W
IV SGD intron 217603 218007 . + . YDL136W
IV SGD intron 230020 230320 . + . YDL130W
IV SGD intron 239399 239509 . - . YDL125C
IV SGD intron 254975 255044 . - . YDL115C
IV SGD intron 267726 267806 . + . YDL108W
IV SGD intron 307334 307765 . - . YDL083C
IV SGD intron 308428 308792 . + . YDL082W
IV SGD intron 314045 314336 . - . YDL079C
IV SGD intron 322283 322703 . + . YDL075W
IV SGD intron 337525 337634 . + . YDL064W
IV SGD intron 359614 359636 . + . tK(UUU)D
IV SGD intron 399362 399484 . + . YDL029W
IV SGD intron 431387 431472 . - . YDL012C
IV SGD intron 458018 458097 . - . YDR005C
IV SGD intron 491560 491898 . + . YDR025W
IV SGD intron 569634 569723 . - . YDR059C
IV SGD intron 579479 580017 . + . YDR064W
IV SGD intron 629906 630173 . + . YDR092W
IV SGD intron 715248 715358 . - . YDR129C
IV SGD intron 733703 733775 . - . YDR139C
IV SGD intron 884398 884457 . + . tI(UAU)D
IV SGD intron 946351 946364 . + . tY(GUA)D
IV SGD intron 1073313 1073401 . - . YDR305C
IV SGD intron 1095406 1095424 . - . tF(GAA)D
