#'chr'	'start'	'end'	'1point5min_Rep1_rpkm'	'1point5min_Rep2_rpkm'	'2point5min_Rep1_rpkm'	'2point5min_Rep2_rpkm'	'5min_Rep1_rpkm'	'5min_Rep2_rpkm'	'Background_Rep1_rpkm'	'Total_Rep2_rpkm'	'WH3_4tU_Rep1'	'WH3_4tU_Rep2'	'WT_Rep1_Total'	'WT_Rep2_Total'
I	87388	87500	625.1936931610107	1812.372058686756	1358.6364433651881	1027.6571692739215	464.6058345181601	862.5928373790923	8.417277038097382	177.41602669443404	57.89390999930246	31.825102942330496	0.5859844812325069	0.5408557781151363
I	139188	139218	6876.300667317709	8320.449641927084	7949.5203125	19674.610286458334	8403.519921875	9651.328483072917	301.67498779296875	2703.47998046875	123.38223266601562	22.83126098314921	0.0	0.0
I	142254	142619	26523.153322988015	24897.094873715752	27830.423244863014	24130.7534182363	20874.360546875	9787.370366010275	2275.380517395704	5922.81996869649	1512.2840024347174	642.2780186483304	6.331330176575543	5.268351706413373
I	151007	151096	374.8440568902519	1401.306761323736	573.8834828580364	619.8712485667025	572.2116565061419	67.29871942755881	24.574665905384535	97.58353076891953	42.395694861251314	21.08625321977594	0.07071943681561545	0.22672853074716717
I	181179	181210	11899.309601814517	9670.631142893146	15360.525926159275	32135.72568044355	19785.148122479837	16032.467804939517	981.2538885301159	3812.1286542338707	283.8620349514869	38.61418957864085	0.04698679968714714	0.08747455549816932
II	4117	4215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
II	36435	36452	7709.502470128677	5321.267061121323	7506.623592601103	18378.517693014706	9281.957261029413	10522.24103860294	1182.299467198989	1622.0899658203125	157.13800048828125	73.61470031738281	0.0	0.0
II	47059	47146	1475.2705723554238	3949.806887571839	3172.4626324533046	2686.7002177622126	2176.766319537985	1593.130720467403	0.8668827846132475	1023.9047072838092	53.483048537681846	23.195446584416533	0.6326508741269167	0.6134309522036848
II	60194	60697	2189.474067703156	5473.979920930147	2500.613344995133	2485.1281459679426	705.3552318899106	1732.074322942553	120.7192017131056	1149.3134581184765	540.1456179912711	207.82947760216047	0.8197590735987214	0.6319185341328797
II	110421	110505	634.5770191010974	1351.1793249221075	460.49543834867933	395.61676779247466	226.03150031680153	124.8795001620338	0.0	106.61049679347447	68.13722737630208	31.172903696695965	0.2537603293146406	0.19317373775300525
II	110880	110948	431.83985227697036	2421.1762874827664	484.6903040268842	1051.535264856675	198.3212803111357	504.686798544491	0.0	0.0	152.19919406666475	42.74970250971177	0.22344634835334384	0.2808298174949253
II	125155	125270	1287.2631814707881	2892.9878750566127	2154.280713598279	793.0511596679687	815.477075726053	924.0924557008606	11.586076869135317	137.8187713623047	126.6176901112432	86.92346403702446	0.3837021537449049	0.41116312794063403
II	142750	142846	2744.196117401123	6288.332736545138	3956.3619113498266	2385.230509440104	1486.1051139831543	1426.1943664550781	10.474833647410074	329.8389296531677	135.02887598673502	39.37455622355143	0.6733703389763832	0.5677248177429041
II	168425	168808	3444.3077701737925	5901.995490304068	2418.7105805319848	3084.0881833387725	1166.6623371014707	956.5842529509356	87.32595754931722	551.7091947311521	608.5945423415062	317.95283823038204	1.060452893259631	1.2264547761986835
II	170677	170804	960.9703056755967	1744.9650603366963	1205.1559206344323	564.4973704420676	330.4395220899207	1073.7447685982613	0.0	3.7252676055187317	129.12559881735973	74.5747395913432	0.7188724983395554	0.4376968736723652
II	186353	186427	1531.3193111935177	1200.4490076013512	705.5126746925148	281.3046629622176	88.72270202636719	276.07221675563505	1.358897338042388	39.27352585663667	137.5674570444468	36.826266108332455	0.49250801833900243	0.25231058311623494
II	332876	333386	1501.8637455958947	3027.452195669935	1636.053092767055	2140.4923177083333	669.6117273667279	1552.142231541054	281.9679090190486	1464.1996536554075	752.9295093012792	356.0714050292969	3.0744002734913547	2.2686137928682215
II	366503	366584	263.86565201370803	356.63425012282386	267.86649727527004	296.177646872438	239.87984212239584	161.08140790020977	0.7759136035118575	51.73325771755643	116.84279510121287	34.49948327335311	0.4623902907342087	0.19621906001810674
II	393181	393510	26604.393453766148	49613.02601792046	32735.896486353853	42637.815919452885	29193.263651097073	17271.650079945543	1288.692780375843	8259.917747613506	899.4037529385923	350.2052958294251	4.643970280795112	4.070369711762866
II	407028	407122	2229.6652247652096	2765.171589303524	3575.2879664644283	1695.155374729887	1566.332887040808	954.4075960199883	103.36669974631451	443.62972665340345	357.10650829558676	115.691162109375	1.142374505387976	0.8919092683081932
II	414754	415259	4092.7520602084624	6663.233254692656	3725.345449798886	4112.254175433169	1539.940258547339	1533.119191870359	162.7023940943899	991.5365509939666	658.7369027015006	345.8692075823793	0.8984986859973114	0.6314196042495199
II	426517	426873	7000.191736799948	21693.719057233146	10883.715467360136	13042.64303019663	9279.856979541564	7706.453907713016	241.0836939124944	1144.1623905481918	219.89523726902652	106.16348532344519	1.0295581442586492	1.0549949849589486
II	462210	462289	991.6929869832871	792.3971287208267	1401.9064508751978	503.36919856976857	949.5572285712519	398.7593963236748	6.841790078561517	175.38409906701196	92.28877934323081	54.691957497898535	0.23068699353857886	0.15461939346941211
II	462430	462499	65.88274781600289	129.35538062496462	57.65696627851845	32.46881766941237	0.0	24.868597500566125	0.0	2.9385651298191235	69.1333029926687	35.72743313554405	0.2404669670091159	0.273873141710309
II	479346	479434	1263.9560997702858	1117.7486815019088	1594.8096403642135	898.4710676019841	532.3362527327104	223.68972969055176	27.567857438867744	208.52126151865178	87.72041164744984	60.91103024916215	0.09747758880257607	0.06108380574733019
II	592417	592768	1796.4152475558114	2624.7407806193614	1684.8180644586894	2447.21543914708	1251.6238307681178	1126.5181929976852	29.257916344536675	689.7961502292557	831.3024512831641	460.58977193370504	0.7379043030942607	0.5054948754460044
II	602104	602216	161.69935519354684	388.1298279989333	173.448513848441	177.52748816353935	14.655072791235787	24.559158552260623	14.028795063495636	7.844941718237741	190.95644542149134	69.58176565170288	0.10614631291744965	0.15325775423220225
II	604515	604927	10082.20859446109	15601.379479861955	8712.553865796925	7658.090215412621	3521.86181640625	5453.078009645529	250.7904992772748	2131.2019825166867	1044.9354496928095	624.4394080893508	2.8308039776329856	2.681788254710077
II	606281	606668	2558.662920969093	4353.420741985627	2182.4166527878715	2807.7162395782866	1083.9336114139212	1974.476232352902	50.54459850480642	795.3280265867248	796.2667930267886	279.87412216620237	2.3763067592946134	2.1612981280615164
II	653369	653452	243.37302187264683	350.9470130276967	362.8061036259295	242.92945135645118	138.42879389567548	30.425799542162792	0.0	0.0	38.50383809101151	22.011640158044287	0.059848010270710454	0.2024585410773036
II	662582	663002	284.0407341820853	538.856324404762	549.4953938802083	652.0263227807908	435.9790536971319	371.80679001581103	20.874876260138176	364.53218151274183	73.13319509483519	41.64289723237356	0.762169082010431	0.5437629250543458
II	679943	680039	657.9809986750284	5157.133517795139	3453.412489149305	1936.9665253957112	1365.958781560262	1848.2787831624348	45.30365350842476	449.87643162409466	102.98528416951497	55.29646968841553	0.8749303494890531	1.2212189994752407
II	726918	727011	830.1848781134493	2466.7786943989418	1190.8660980552756	1357.0570698399697	341.5345052083333	263.5350064513504	4.595410890476678	415.33326245379703	141.06697098926833	67.01443686536564	0.32005813621705576	0.3194907506306966
III	90897	90928	98778.90020161291	95109.12613407258	89151.0902217742	134089.59375	96241.20010080645	69241.07081653226	4659.751260080645	20856.048481602822	294.70364478326616	94.47030172040385	0.16975874189407594	0.018036000190242645
III	101634	101700	714.8811899820963	1353.2686638109612	795.2022575609611	852.8613706646544	406.6457191236091	345.83608823834044	60.75412264737216	114.69309107462566	44.82332403009588	14.460477193196615	0.23700280035987045	0.25810146015701874
III	107034	107110	1407.5723411158513	2186.9466954281456	2077.7524100855776	3000.6402877004525	1312.7473521985505	1328.2729235197369	22.658719100450213	207.20786295439066	220.83156906931023	77.38387579666941	0.4471859680978875	0.3398030570855266
III	107192	107287	894.1321186266447	1775.585478772615	1573.2919915450248	1535.816342002467	478.6356345728824	364.316900313528	9.261958172446803	115.60947542692486	153.50941097861843	75.52879654733758	1.1464932090357731	1.1097625632035104
III	111558	111633	2353.608933919271	6101.5286263020835	3294.4653287760416	3562.15279296875	2706.0427864583335	1213.0256412760416	97.8768682607015	864.2124576822916	103.26538248697916	48.27097905476888	1.1958622964223227	0.8457561175028483
III	173116	173198	942.4459965403487	447.15918117616235	300.4273283423447	145.71370687717345	489.05680958817646	44.615876267595986	0.6131609939947361	63.87797979029214	108.86232329577935	50.81381206977658	1.058868425648387	1.0173609271282102
III	177907	178213	6040.065156824448	7859.499530867034	5835.793658088235	5123.086016646242	2620.939028671364	1247.5703843060662	51.63474419226054	1042.486253127553	772.8935139973959	315.37972962622547	3.0264265919043347	1.7747008597928715
III	227979	227997	13356.661078559027	15371.76123046875	14566.827853732639	31437.482747395832	15706.388943142361	15425.427842881945	430.1671600341797	3970.739990234375	1296.6316731770833	359.89388699001734	0.02349339984357357	0.029508900311258104
III	293940	293993	511.8645595334611	545.0446001448721	476.36035041089326	299.4174889618496	465.37555104381636	114.23302546087301	0.0	36.343989462222694	73.29805330960255	59.06086140758586	0.13608418826786978	0.048527049568464174
III	294240	294291	204.14893490660424	316.9106253829657	105.60874340580959	360.5785217285156	253.99047193340226	221.554412243413	0.0	67.58699798583984	73.34812613094554	23.847914396547804	0.2501356271552105	0.14635682442024642
IV	65307	65377	1818.3622785295759	2841.35400390625	1962.933851841518	1226.8581028529577	991.7923086983817	462.51637398856025	24.062189292907714	57.93171255929129	60.32969621930803	15.443087441580635	0.19203740528651647	0.19671405851840973
IV	117667	118157	3803.6486926020407	9259.114000551392	4168.114637559125	4458.3346771364795	1384.6793118223852	2896.0574834084023	307.8214552275988	693.8555253009407	875.7139987244898	392.76289747588487	0.7685127564838954	0.729039461758672
IV	217603	218007	1246.8897393859259	3675.649976472256	2005.687764284241	1516.674027788521	767.0039195447865	1995.2066187087457	121.91639106537606	408.7426955345834	647.6726195080446	280.2551359422136	0.9045450286109848	0.8006941419426757
IV	230020	230320	11305.73724609375	26223.90334201389	8797.271666666667	14209.496229166667	5499.359827473958	4573.9748828125	176.68965784072876	5997.106640625	378.1070832316081	176.62940022786458	3.828056719303131	3.6501164563496906
IV	239399	239509	2989.169443581321	7448.364038825757	5552.373502604166	4285.513267933238	2272.9153370250356	2310.9205107717803	59.07810757376931	902.5942898837003	242.10028464577414	149.6017217462713	3.217246931249445	3.433083170110529
IV	254975	255044	1368.1298421223958	4255.624915081522	1756.7624741706295	3754.2054921025815	1290.3349361696105	572.4478029997452	0.0	370.2596992824389	182.594086356785	51.86254960212155	0.8467307522676993	0.6028856522795083
IV	267726	267806	772.6214328765869	2104.738888549805	737.9042278289795	318.54961194992063	545.6446880340576	520.4464611053467	0.0	128.4157364845276	55.72969131469726	12.782565689086914	0.21452396959066392	0.1891385555267334
IV	307334	307765	2106.512077880293	6017.467926001787	3031.575718713747	2844.2487456496524	877.6724284231801	1168.0969104221047	163.4116359373558	744.1348874120868	442.09480494523547	230.01897187907846	0.5780677659190725	0.47958882612861226
IV	308428	308792	4335.508573091947	6413.76756918212	3367.477664262821	3179.339357615041	1592.2787146935095	1087.9269353286686	109.46855759596848	681.5655267212417	589.0889201740642	305.0775265536465	1.5042432055368529	1.4261695015561449
IV	314045	314336	0.0	35.06712081751873	39.778030517857786	0.0	28.283218088838243	20.02648338501396	0.0	0.0	18.982245245340355	6.820183149727759	0.1439367709905421	0.21029299118674497
IV	322283	322703	710.1377444312686	2007.5108382936505	1580.5405211433533	474.46248895554317	517.3558986118861	2483.950430927579	212.1393572654559	1166.2034639903477	595.7038922991071	295.40679931640625	1.7199337402979533	1.5476769492739724
IV	337525	337634	1254.8676714415944	2596.5503049144686	1658.5503616566323	1785.5986367321889	1061.8240658821317	882.7010563375023	27.10002830925338	161.5269710295791	85.32531094332354	23.442291032283677	0.3172215414703439	0.18744328918807004
IV	359614	359636	1411.430908203125	962.1820789683949	2552.5300071022725	2074.8658336292615	1419.5631658380682	740.2362032803622	0.0	118.27772521972656	43.84780380942605	32.58831431648948	0.06620867076245221	0.06099447337063876
IV	399362	399484	3759.209658763448	4139.480287312158	5903.813599299863	4704.118100025615	2923.1215219966703	1472.1744818348702	141.97708261208456	153.73289158305184	145.63839271420338	71.17735515657019	0.48014640710392936	0.4093405272139878
IV	431387	431472	576.6491192985983	2072.4559958065256	866.9518123851103	779.7282529943129	719.1754545323989	268.15065540986905	117.41658675249884	401.94415785845587	275.840185546875	146.02441496007583	0.38553355546558604	0.3617707280551686
IV	458018	458097	929.5081118813044	1916.1059539408623	1359.2939522658721	776.3226194743869	408.2365579725821	169.25776691678203	0.0	194.63369654401947	98.89666014079806	68.9150640753251	0.3409051140652427	0.34179493898077856
IV	491560	491898	5619.930157001202	7141.12846419656	4708.1550760062255	4084.042396680843	2801.2247343345507	1325.8771312946867	31.64764596724651	1643.1951875404493	787.4973809056028	330.172557763094	2.6105926382471116	2.6143153532016914
IV	569634	569723	617.8749012464888	378.10872118660575	579.0412337056706	373.39113428351584	530.8408696892557	272.83255330632244	59.8831453001901	3.037617887004038	47.948416120550604	20.468135233675497	0.11797013878822327	0.12403422125269857
IV	579479	580017	28024.015702144807	35660.40135145601	19962.50912184402	21640.936823303906	10055.25137953067	6918.398835930239	792.1556198878158	6225.062294885572	1602.3630287142048	688.8519186140436	3.1180172391983656	2.4544030414638023
IV	629906	630173	1168.4374807979284	2617.2291886118915	1574.9749196560938	2051.554127165262	1017.8866154245669	1053.4172430336105	12.663955902785398	327.3668435771813	126.23762212174663	41.64634510283167	0.4004650432965282	0.37234882558329724
IV	715248	715358	1855.6917302911932	1941.9765195904358	2119.9569010416667	1264.4388072620739	1269.5421530983665	846.1205921519886	0.0	138.86073282415217	91.31404862837358	39.049626783891156	0.8098681926727295	0.837339828231118
IV	733703	733775	1009.185685051812	739.6069081624349	733.6109881930881	621.0221922132704	526.7910970052084	125.45769606696234	0.0	91.99358050028484	83.67271667056613	24.566024356418186	0.7439575725131564	0.5604749454392327
IV	884398	884457	36243.63397113347	42112.138837394064	44790.71682997881	99054.74404131356	63677.33229608051	49244.66280455508	2506.292211500265	19245.70368776483	973.2340967210673	410.17014998096533	0.23254492954682496	0.34541988953695457
